designation,d,bf,tw,tf,Zx
W44X408,44.8,16.1,1.22,2.17,2000.0
W44X368,44.4,16.0,1.1,1.97,1800.0
W44X335,44.0,15.9,1.03,1.77,1620.0
W44X290,43.6,15.8,0.865,1.58,1410.0
W44X262,43.3,15.8,0.785,1.42,1270.0
W44X230,42.9,15.8,0.71,1.22,1100.0
W40X655,43.6,16.9,1.97,3.54,3080.0
W40X593,43.0,16.7,1.79,3.23,2760.0
W40X503,42.1,16.4,1.54,2.76,2320.0
W40X431,41.3,16.2,1.34,2.36,1960.0
W40X397,41.0,16.1,1.22,2.2,1800.0
W40X372,40.6,16.1,1.16,2.05,1680.0
W40X362,40.6,16.0,1.12,2.01,1640.0
W40X324,40.2,15.9,1.0,1.81,1460.0
W40X297,39.8,15.8,0.93,1.65,1330.0
W40X277,39.7,15.8,0.83,1.58,1250.0
W40X249,39.4,15.8,0.75,1.42,1120.0
W40X215,39.0,15.8,0.65,1.22,964.0
W40X199,38.7,15.8,0.65,1.07,869.0
W40X392,41.6,12.4,1.42,2.52,1710.0
W40X331,40.8,12.2,1.22,2.13,1430.0
W40X327,40.8,12.1,1.18,2.13,1410.0
W40X294,40.4,12.0,1.06,1.93,1270.0
W40X278,40.2,12.0,1.03,1.81,1190.0
W40X264,40.0,11.9,0.96,1.73,1130.0
W40X235,39.7,11.9,0.83,1.58,1010.0
W40X211,39.4,11.8,0.75,1.42,906.0
W40X183,39.0,11.8,0.65,1.2,774.0
W40X167,38.6,11.8,0.65,1.03,693.0
W40X149,38.2,11.8,0.63,0.83,598.0
W36X925,43.1,18.6,3.02,4.53,4130.0
W36X853,43.1,18.2,2.52,4.53,3920.0
W36X802,42.6,18.0,2.38,4.29,3660.0
W36X723,41.8,17.8,2.17,3.9,3270.0
W36X652,41.1,17.6,1.97,3.54,2910.0
W36X529,39.8,17.2,1.61,2.91,2330.0
W36X487,39.3,17.1,1.5,2.68,2130.0
W36X441,38.9,17.0,1.36,2.44,1910.0
W36X395,38.4,16.8,1.22,2.2,1710.0
W36X361,38.0,16.7,1.12,2.01,1550.0
W36X330,37.7,16.6,1.02,1.85,1410.0
W36X302,37.3,16.7,0.945,1.68,1280.0
W36X282,37.1,16.6,0.885,1.57,1190.0
W36X262,36.9,16.6,0.84,1.44,1100.0
W36X247,36.7,16.5,0.8,1.35,1030.0
W36X231,36.5,16.5,0.76,1.26,963.0
W36X387,39.1,12.7,1.42,2.56,1610.0
W36X350,38.6,12.6,1.3,2.32,1440.0
W36X318,38.2,12.4,1.18,2.13,1300.0
W36X286,37.8,12.3,1.06,1.93,1160.0
W36X256,37.4,12.2,0.96,1.73,1040.0
W36X232,37.1,12.1,0.87,1.57,936.0
W36X210,36.7,12.2,0.83,1.36,833.0
W36X194,36.5,12.1,0.765,1.26,767.0
W36X182,36.3,12.1,0.725,1.18,718.0
W36X170,36.2,12.0,0.68,1.1,668.0
W36X160,36.0,12.0,0.65,1.02,624.0
W36X150,35.9,12.0,0.625,0.94,581.0
W36X135,35.6,12.0,0.6,0.79,509.0
W33X387,36.0,16.2,1.26,2.28,1560.0
W33X354,35.6,16.1,1.16,2.09,1420.0
W33X318,35.2,16.0,1.04,1.89,1270.0
W33X291,34.8,15.9,0.96,1.73,1160.0
W33X263,34.5,15.8,0.87,1.57,1040.0
W33X241,34.2,15.9,0.83,1.4,940.0
W33X221,33.9,15.8,0.775,1.28,857.0
W33X201,33.7,15.7,0.715,1.15,773.0
W33X169,33.8,11.5,0.67,1.22,629.0
W33X152,33.5,11.6,0.635,1.06,559.0
W33X141,33.3,11.5,0.605,0.96,514.0
W33X130,33.1,11.5,0.58,0.855,467.0
W33X118,32.9,11.5,0.55,0.74,415.0
W30X391,33.2,15.6,1.36,2.44,1450.0
W30X357,32.8,15.5,1.24,2.24,1320.0
W30X326,32.4,15.4,1.14,2.05,1190.0
W30X292,32.0,15.3,1.02,1.85,1060.0
W30X261,31.6,15.2,0.93,1.65,943.0
W30X235,31.3,15.1,0.83,1.5,847.0
W30X211,30.9,15.1,0.775,1.32,751.0
W30X191,30.7,15.0,0.71,1.19,675.0
W30X173,30.4,15.0,0.655,1.07,607.0
W30X148,30.7,10.5,0.65,1.18,500.0
W30X132,30.3,10.5,0.615,1.0,437.0
W30X124,30.2,10.5,0.585,0.93,408.0
W30X116,30.0,10.5,0.565,0.85,378.0
W30X108,29.8,10.5,0.545,0.76,346.0
W30X99,29.7,10.5,0.52,0.67,312.0
W30X90,29.5,10.4,0.47,0.61,283.0
W27X539,32.5,15.3,1.97,3.54,1890.0
W27X368,30.4,14.7,1.38,2.48,1240.0
W27X336,30.0,14.6,1.26,2.28,1130.0
W27X307,29.6,14.4,1.16,2.09,1030.0
W27X281,29.3,14.4,1.06,1.93,936.0
W27X258,29.0,14.3,0.98,1.77,852.0
W27X235,28.7,14.2,0.91,1.61,772.0
W27X217,28.4,14.1,0.83,1.5,711.0
W27X194,28.1,14.0,0.75,1.34,631.0
W27X178,27.8,14.1,0.725,1.19,570.0
